Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2023-03-13 23:00:00,[ExitL B:NaN R:69 V:4.04 M:+ ST:U SK:NaN/NaN],1.0728,1000,1067.6,5.1,0.48,6.19,0.58,-0.05,0.00,5.1,0.51
1,Entry long,2023-03-13 12:00:00,[BBL B:NaN R:40 V:0.78 M:- ST:D SK:NaN/NaN],1.0676,1000,1067.6,5.1,0.48,6.19,0.58,-0.05,0.00,5.1,0.51
2,Exit short,2023-03-14 08:00:00,[ExitS B:NaN R:45 V:0.87 M:- ST:D SK:NaN/NaN],1.07,1000,1072.4,2.3,0.21,3.15,0.29,-0.05,0.00,7.4,0.74
2,Entry short,2023-03-14 00:00:00,[BBS B:NaN R:64 V:0.27 M:+ ST:U SK:NaN/NaN],1.0724,1000,1072.4,2.3,0.21,3.15,0.29,-0.05,0.00,7.4,0.74
3,Exit short,2023-03-14 17:00:00,[ExitS B:0.21 R:55 V:2.99 M:- ST:D SK:6/2],1.072,1000,1072.4,0.3,0.03,1.15,0.11,-0.05,0.00,7.7,0.77
3,Entry short,2023-03-14 13:00:00,[BBS B:0.73 R:59 V:0.67 M:+ ST:U SK:84/93],1.0724,1000,1072.4,0.3,0.03,1.15,0.11,-0.05,0.00,7.7,0.77
4,Exit short,2023-03-15 17:00:00,[ExitS B:0.68 R:15 V:1.04 M:+ ST:D SK:59/63],1.0544,1000,1074.8,20.3,1.89,21.15,1.97,-0.05,0.00,28.01,2.80
4,Entry short,2023-03-15 05:00:00,[BBS B:0.73 R:63 V:1.13 M:+ ST:U SK:93/96],1.0748,1000,1074.8,20.3,1.89,21.15,1.97,-0.05,0.00,28.01,2.80
5,Exit short,2023-03-16 13:00:00,[ExitS B:0.2 R:50 V:1.37 M:- ST:D SK:5/2],1.0596,1000,1061.2,1.5,0.14,2.35,0.22,-0.05,0.00,29.51,2.95
5,Entry short,2023-03-16 12:00:00,[BBS B:0.81 R:64 V:1.05 M:+ ST:U SK:93/98],1.0612,1000,1061.2,1.5,0.14,2.35,0.22,-0.05,0.00,29.51,2.95
6,Exit short,2023-03-16 18:00:00,[ExitS B:0.35 R:51 V:0.4 M:- ST:D SK:7/9],1.0604,1000,1061.2,0.7,0.07,1.55,0.15,-0.05,0.00,30.21,3.02
6,Entry short,2023-03-16 17:00:00,[BBS B:0.74 R:58 V:0.64 M:+ ST:U SK:86/94],1.0612,1000,1061.2,0.7,0.07,1.55,0.15,-0.05,0.00,30.21,3.02
7,Exit short,2023-03-19 21:00:00,[ExitS B:0.5 R:65 V:0.18 M:+ ST:D SK:37/42],1.0672,1000,1067.2,-0.1,-0.01,0.75,0.07,-0.05,0.00,30.11,3.01
7,Entry short,2023-03-17 19:00:00,[BBS B:0.61 R:68 V:0.44 M:+ ST:U SK:88/81],1.0672,1000,1067.2,-0.1,-0.01,0.75,0.07,-0.05,0.00,30.11,3.01
8,Exit short,2023-03-20 03:00:00,[ExitS B:0.76 R:63 V:1.24 M:- ST:U SK:74/79],1.0676,1000,1067.6,-0.1,-0.01,0.35,0.03,-0.45,-0.04,30.01,3.00
8,Entry short,2023-03-19 22:00:00,[BBS B:0.82 R:62 V:0.83 M:+ ST:U SK:95/98],1.0676,1000,1067.6,-0.1,-0.01,0.35,0.03,-0.45,-0.04,30.01,3.00
9,Exit long,2023-03-20 18:00:00,[ExitL B:0.8 R:71 V:3.08 M:+ ST:U SK:94/98],1.072,1000,1066.4,5.5,0.52,6.09,0.57,-0.05,0.00,35.52,3.55
9,Entry long,2023-03-20 09:00:00,[BBL B:0.18 R:51 V:1.47 M:- ST:D SK:5/2],1.0664,1000,1066.4,5.5,0.52,6.09,0.57,-0.05,0.00,35.52,3.55
10,Exit short,2023-03-22 16:00:00,[ExitS B:0.77 R:71 V:1.82 M:- ST:U SK:67/77],1.0792,1000,1078.8,-0.5,-0.05,0.61,0.06,-0.45,-0.04,35.02,3.50
10,Entry short,2023-03-22 12:00:00,[BBS B:0.71 R:72 V:0.44 M:- ST:U SK:90/92],1.0788,1000,1078.8,-0.5,-0.05,0.61,0.06,-0.45,-0.04,35.02,3.50
11,Exit long,2023-03-24 08:00:00,[ExitL B:0.8 R:26 V:0.5 M:- ST:D SK:94/98],1.0824,1000,1082.8,-0.5,-0.05,0.51,0.05,-0.45,-0.04,34.52,3.45
11,Entry long,2023-03-24 08:00:00,[BBL B:0.25 R:29 V:1.17 M:- ST:D SK:10/5],1.0828,1000,1082.8,-0.5,-0.05,0.51,0.05,-0.45,-0.04,34.52,3.45
12,Exit short,2023-03-27 08:00:00,[ExitS B:0.82 R:47 V:0.56 M:+ ST:D SK:76/83],1.076,1000,1076.8,0.7,0.07,1.55,0.14,-0.41,-0.04,35.22,3.52
12,Entry short,2023-03-27 00:00:00,[BBS B:0.78 R:51 V:0.6 M:+ ST:U SK:93/98],1.0768,1000,1076.8,0.7,0.07,1.55,0.14,-0.41,-0.04,35.22,3.52
13,Exit short,2023-03-28 15:00:00,[ExitS B:0.62 R:78 V:1.08 M:+ ST:U SK:43/51],1.0836,1000,1083.2,-0.5,-0.05,0,0.00,-0.45,-0.04,34.72,3.47
13,Entry short,2023-03-28 15:00:00,[BBS B:0.81 R:74 V:1.16 M:+ ST:U SK:94/98],1.0832,1000,1083.2,-0.5,-0.05,0,0.00,-0.45,-0.04,34.72,3.47
14,Exit short,2023-03-29 07:00:00,[ExitS B:0.86 R:63 V:0.41 M:- ST:D SK:95/97],1.0832,1000,1083.6,0.3,0.03,1.15,0.11,-0.05,0.00,35.02,3.50
14,Entry short,2023-03-29 05:00:00,[BBS B:0.8 R:71 V:1.41 M:+ ST:U SK:95/98],1.0836,1000,1083.6,0.3,0.03,1.15,0.11,-0.05,0.00,35.02,3.50
15,Exit short,2023-03-29 17:00:00,[ExitS B:0.65 R:54 V:0.49 M:- ST:D SK:47/54],1.0836,1000,1084.4,0.7,0.06,1.59,0.15,-0.05,0.00,35.72,3.57
15,Entry short,2023-03-29 14:00:00,[BBS B:0.76 R:62 V:0.39 M:- ST:U SK:92/96],1.0844,1000,1084.4,0.7,0.06,1.59,0.15,-0.05,0.00,35.72,3.57
16,Exit short,2023-03-30 10:00:00,[ExitS B:0.41 R:68 V:0.62 M:+ ST:U SK:21/27],1.0872,1000,1086.8,-0.5,-0.05,0,0.00,-0.45,-0.04,35.22,3.52
16,Entry short,2023-03-30 10:00:00,[BBS B:0.67 R:64 V:1.25 M:+ ST:U SK:77/89],1.0868,1000,1086.8,-0.5,-0.05,0,0.00,-0.45,-0.04,35.22,3.52
17,Exit short,2023-03-31 00:00:00,[ExitS B:0.93 R:69 V:2.54 M:- ST:D SK:94/96],1.0908,1000,1090.8,-0.1,-0.01,0.75,0.07,-0.05,0.00,35.12,3.51
17,Entry short,2023-03-30 15:00:00,[BBS B:0.84 R:74 V:1.47 M:+ ST:U SK:94/98],1.0908,1000,1090.8,-0.1,-0.01,0.75,0.07,-0.05,0.00,35.12,3.51
18,Exit long,2023-03-31 14:00:00,[ExitL B:0.14 R:47 V:0.62 M:- ST:U SK:5/3],1.088,1000,1087.6,0.3,0.03,1.15,0.11,-0.05,0.00,35.42,3.54
18,Entry long,2023-03-31 12:00:00,[BBL B:0.2 R:43 V:0.65 M:- ST:D SK:5/2],1.0876,1000,1087.6,0.3,0.03,1.15,0.11,-0.05,0.00,35.42,3.54
19,Exit long,2023-04-03 13:00:00,[ExitL B:0.31 R:69 V:2.6 M:+ ST:U SK:44/40],1.0872,1000,1080,7.1,0.66,7.55,0.70,-0.05,0.00,42.52,4.25
19,Entry long,2023-04-03 06:00:00,[BBL B:0.17 R:27 V:1.12 M:- ST:D SK:6/2],1.08,1000,1080,7.1,0.66,7.55,0.70,-0.05,0.00,42.52,4.25
